iso3,year,pop,pop_15_64_pct,pop_65_plus_pct,IMR,urban,LA,PSR
AUS,1995,18004882.0,66.6181707676248,11.8465581022787,5.8,84.898,7682300.0,5.623419915934124
AUS,2000,19028802.0,66.9076069682792,12.3380926593329,5.1,84.235,7682300.0,5.422848475503082
AUS,2005,20176844.0,67.351268743388,12.8849948927024,4.8,84.582,7682300.0,5.227108687604786
AUS,2010,22031750.0,67.4018595917306,13.529289383836,4.0,85.182,7682300.0,4.98192164270345
AUT,1990,7677850.0,67.5256843612601,14.9539928677502,8.0,62.96,82520.0,4.515562161787979
AUT,1995,7948278.0,67.0408548886985,15.1506262985717,5.7,61.596,82520.0,4.42495600957557
AUT,2000,8011566.0,67.5186835573713,15.4406416730563,4.5,60.213,82520.0,4.372790003616912
AUT,2005,8227829.0,67.7734463884085,16.2126667286006,4.1,58.813,82520.0,4.180277527622896
AUT,2010,8363404.0,67.5198292810067,17.6592449706019,3.6,57.399,82520.0,3.823483359192867
AZE,1990,7175200.0,62.2042193714712,3.96225209605706,75.5,53.749,82650.0,15.699207890727658
AZE,1995,7684850.0,61.4295320102007,4.97343567532807,75.5,52.206,82663.0,12.351528404184808
AZE,2000,8048600.0,64.1307163350035,5.53451830632131,59.9,51.386,82663.0,11.587407030844204
AZE,2005,8391850.0,68.2989835817229,6.5616695016824,41.4,52.389,82659.0,10.4087814182368
AZE,2010,9054332.0,71.8007526197132,5.88788457841308,29.5,53.406,82646.0,12.194660351012717
BDI,1990,5587052.0,48.472257957125,2.82176514360658,92.6,6.271,25680.0,17.1779916081787
BDI,1995,6066316.0,48.331170021476,2.55534001196113,96.3,7.211,25680.0,18.91379221365676
BDI,2000,6470194.0,49.3379216556661,2.39968866464349,88.6,8.246,25680.0,20.560134480193494
BDI,2005,7587299.0,51.8906332806971,2.34294180313706,73.4,9.375,25680.0,22.147640718697588
BDI,2010,9376444.0,52.6291122397194,2.27387364154931,55.0,10.642,25680.0,23.14513492660938
BEL,1990,9967379.0,66.9500644917241,14.9251307704231,8.3,96.377,30280.0,4.4857271618951575
BEL,1995,10136811.0,66.1292715540138,15.8987212034015,6.4,96.777,30280.0,4.159408213276019
BEL,2000,10251250.0,65.5884814221852,16.8052483305967,4.8,97.129,30280.0,3.9028570201352304
BEL,2005,10478617.0,65.6454734618486,17.2201996099681,4.1,97.403,30280.0,3.8121203556693386
BEL,2010,10895586.0,65.9424518102042,17.1172634557158,3.7,97.651,30280.0,3.8523945127563417
BEN,1990,5281479.0,50.2503844093671,3.60323310951345,97.9,34.485,112760.0,13.945915482596265
BEN,1995,6226773.0,50.7931235007282,3.32808824089139,88.3,36.758,112760.0,15.261952155188002
BEN,2000,7221619.0,51.399049160583,3.16257337862881,79.7,38.333,112760.0,16.252286668797538
BEN,2005,8426144.0,52.3634625970944,3.06525755228356,70.9,40.543,112760.0,17.082891634370036
BEN,2010,9797484.0,53.0372644650402,3.0637865803098,63.7,43.093,112760.0,17.311017942926444
BFA,1990,9159356.0,49.6328917866665,3.42840132928552,102.9,13.815,273600.0,14.476978340517096
BFA,1995,10386722.0,49.5322225081107,3.2024731574373,100.6,15.131,273600.0,15.466865785612905
BFA,2000,11925546.0,50.5054045536114,2.94366827915754,92.4,17.844,273600.0,17.15730162641347
BFA,2005,13932123.0,51.7689568284404,2.76554037150187,80.3,21.537,273600.0,18.719291666071925
BFA,2010,16176498.0,51.7142338224256,2.70027542426055,65.7,24.633,273600.0,19.15146631258445
BGD,1990,111633717.0,53.7851879463979,3.50089256635609,96.2,19.811,130170.0,15.363278628792743
BGD,1995,122600370.0,56.3958391805832,3.41881553864805,77.8,21.693,130170.0,16.495724482077378
BGD,2000,134544304.0,59.2159179803854,3.46140181652951,59.8,23.59,130170.0,17.107496072142467
